lemma	translation	rel	p-value
مُكَبِّر	amplifier	attr	0.0658
مُوجَز	summary,abstract	attr	0.0658
نَسَب	lineage,kinship,genealogy	attr	0.0658
نَظم	system,organization	attr	0.0658
وَشك	on_the_verge_of,just_about_to	attr	0.0658
وَضَح	brightness	attr	0.0658
تَدَاعِي	association,mutual_summoning	attr	0.0687
مَعهَد	institute	attr	0.0687
خَطّ	handwriting,script;line	attr	0.0718
أَمِير	Emir,prince	attr	0.0759
اِستِيرَاد	importation,importing,imports,imported_goods	attr	0.0759
رُخصَة	license,permit	attr	0.0759
مَسِيرَة	march,parade;operation,activities,functioning	attr	0.0759
اِحتِوَاء	inclusion,content	attr	0.0768
بَرَاءَة	innocence;license,patent	attr	0.0768
تَأجِير	leasing,lease	attr	0.0768
تَصوِير	photography,illustration,depiction,characterization	attr	0.0768
ثُلث	third	attr	0.0768
دَمج	insertion,inclusion,integration	attr	0.0768
رِبَاط	tie,ligature,bandage	attr	0.0768
سَقف	roof	attr	0.0768
صَانِع	manufacturer,producer,artisan	attr	0.0768
صَوغ	molding,shaping	attr	0.0768
كَتِيبَة	brigade,squadron,corps,Phalangists	attr	0.0768
مُرَاسِل	correspondent	attr	0.0768
مُستَشَارَة	counselor,adviser	attr	0.0768
مَضمُون	content	attr	0.0768
نَجل	son,scion,progeny	attr	0.0768
نَزع	removal,elimination,deposition	attr	0.0768
وَتِيرَة	manner,method,style	attr	0.0768
أَهل	family,people,folk,indigenous_people	attr	0.0895
إِيرَاد	revenue,yield,profit	attr	0.0895
سِيَاق	context,course	attr	0.0895
غِرَار	manner,way,haste	attr	0.0895
لَيل	night,nighttime	attr	0.0895
قِيَادَة	leadership,command,leaders,commanders	attr	0.0915
مَوضُوع	subject,theme,issue	attr	0.0995
تَعَرُّض	being_exposed_to,encountering	attr	0.0999
تَورِيد	provision,supply,furnishing	attr	0.0999
تَبَادُل	exchange	attr	0.101
مُوَازَنَة	balance,comparison;budget	attr	0.102
مَرَض	disease,illness	attr	0.104
مُسَاعَدَة	assistance,support	attr	0.104
قُوَّة	power,strength,armed_forces	attr	0.107
عَالِم	scientist,scholar	attr	0.11
مُستَلزَم	requirement	attr	0.11
أُفُق	horizon,provinces	attr	0.111
إِمدَادَات	reinforcements,supplies	attr	0.111
اِنتِظَار	waiting,anticipating	attr	0.111
مُغَادَرَة	departure	attr	0.111
إِلقَاء	delivering,throwing,arresting	attr	0.111
إِنزَال	lowering,disembarking,landing	attr	0.111
اِستِيعَاب	comprehension,assimilation,containing	attr	0.111
بَوَّابَة	gate,portal	attr	0.111
تَجمِيع	gathering,joining,assemble	attr	0.111
تَعدَاد	counting,enumeration,calculation	attr	0.111
حَجَر	stone	attr	0.111
حَظّ	luck,fortune,shares	attr	0.111
حَقل	field	attr	0.111
خَانَة	compartment,partition	attr	0.111
خَزَّان	tank,reservoir	attr	0.111
رَابِطَة	league,union;tie,link	attr	0.111
رِيَاضَة	sport,physical_exercise,mathematics	attr	0.111
سَدّ	obstruction,defrayal_(_of_costs_),fulfillment	attr	0.111
شُبهَة	obscurity,suspicion,dubious	attr	0.111
قِنطَار	qantar_(_weight_measure_)	attr	0.111
مُجمَل	summary,total	attr	0.111
مُقَوِّم	component,basic_element,ingredient	attr	0.111
أُسلُوب	style,method,manner,modes	attr	0.115
تَوَقُّف	stop,halt	attr	0.115
صَفّ	line,row,class	attr	0.115
مَصِير	path,destiny,fate	attr	0.115
اِتِّبَاع	pursuit,compliance	attr	0.123
اِحتِكَار	monopoly,hoarding	attr	0.123
اِستِقطَاب	polarization,unification	attr	0.123
شَحنَة	freight,cargo,charge	attr	0.123
مَنظُومَة	structure,hierarchy,row,rank	attr	0.123
تَعلِيق	comment,remark,commentary;suspension	attr	0.127
تَعوِيم	floating	attr	0.138
حَائِط	wall	attr	0.138
لَائِحَة	list,table,schedule	attr	0.138
مُقتَضَى	requirement,exigency	attr	0.138
إِنجَاز	accomplishment,achievement,success;implementation,effectuation	attr	0.139
اِنتِشَار	spreading,spread,diffusion	attr	0.139
صُعُوبَة	difficulty	attr	0.139
اِنتِهَاك	exhaustion;violation,contravention,encroachments	attr	0.146
فِكرَة	idea,notion,concept	attr	0.153
قِسم	department,division,section	attr	0.156
شَاهِد	witness,spectator	attr	0.164
إِصرَار	insistence,determination,premeditation	attr	0.164
تَحرِيض	incitement,provocation,induction	attr	0.164
تَدمِير	destruction,annihilation	attr	0.164
تَقيِيم	evaluation,assessment,rating	attr	0.164
إِبلَاغ	reporting,notification,informing	attr	0.164
إِحجَام	abstention,reserve	attr	0.164
إِرجَاء	postponement,deferment	attr	0.164
اِتِّسَاع	expansion,extension	attr	0.164
اِختِتَام	close,conclusion,end	attr	0.164
اِستِفحَال	gravity,seriousness	attr	0.164
اِمتِلَاك	possession,seizure,control	attr	0.164
اِنحِسَار	disappearance,mitigation	attr	0.164
بَال	mind,attention	attr	0.164
بَذر	seed	attr	0.164
بَعث	emission,awakening	attr	0.164
بُغيَة	wish,purpose	attr	0.164
بَلوَرَة	crystallization	attr	0.164
تَبدِيد	defusing,squandering,dispersal	attr	0.164
تَضيِيق	narrowing,tightening	attr	0.164
تَقَاسُم	partitioning,sharing_portions	attr	0.164
تَمَرُّد	insurrection,rebellion	attr	0.164
تَمَسُّك	adherence,commitment	attr	0.164
جِرَاحَة	surgery	attr	0.164
حَجز	detention,reservation,confiscation	attr	0.164
حَفلَة	celebration,party,ceremony	attr	0.164
حَكَم	arbiter,referee	attr	0.164
دِعمَة	support,prop	attr	0.164
رِوَايَة	story,novel	attr	0.164
عِملَاق	giant	attr	0.164
فَضِيحَة	scandal,disgrace	attr	0.164
لِيبِرَالِيَّة	liberalism	attr	0.164
مَبحَث	research,investigation	attr	0.164
مَحدُودِيَّة	limited_nature,restricted_nature	attr	0.164
مُرَاعَاة	compliance,observance,deference	attr	0.164
مُرَكَّز	concentrate	attr	0.164
مُزَاوَلَة	pursuit,practice	attr	0.164
مُسَارَعَة	hurry,haste	attr	0.164
مَصرُوف	expenditure,expense	attr	0.164
مُعَانَاة	hardship,suffering,effort	attr	0.164
مَنهَج	method,approach,program	attr	0.164
مَوكِب	escort,convoy	attr	0.164
هَاجِس	apprehension,misgivings	attr	0.164
وَاجِهَة	interface,facade,outside	attr	0.164
ضَوء	light	attr	0.175
أَزمَة	crisis	attr	0.179
إِدرَاك	attainment,realization,awareness	attr	0.18
إِطَاحَة	overthrow,topple	attr	0.18
تَشخِيص	diagnosis,personification	attr	0.18
تَنَاوُل	dealing_with,eating	attr	0.18
حُجرَة	room,compartment	attr	0.18
خِلَافَة	succession,deputyship,caliphate	attr	0.18
سَاحِل	coast,seashore	attr	0.18
سَلطَنَة	sultanate	attr	0.18
طَرد	expulsion,dismissal,kicking_out	attr	0.18
عَرَبَة	vehicle,wagon	attr	0.18
غِطَاء	cover,blanket	attr	0.18
فَلسَفَة	philosophy	attr	0.18
كُتلَة	bloc,group,mass	attr	0.18
لِسَان	language;tongue	attr	0.18
مُصطَلَح	technical_term,terminology	attr	0.18
مَكَانَة	position,standing	attr	0.18
اِستِقرَار	stability	attr	0.184
اِستِبعَاد	ruling_out,distancing	attr	0.196
تِكنُولُوجِيَا	technology	attr	0.196
مُقَدِّمَة	preface,introduction,front_part	attr	0.2
جَمعِيَّة	association,society	attr	0.203
آلِيَّة	automation,mechanism	attr	0.204
اِنضِمَام	joining,affiliation,annexation	attr	0.212
تَوطِين	naturalization	attr	0.212
شَهَادَة	certificate,witness,testimony	attr	0.212
مُنَاخ	climate,atmosphere	attr	0.212
اِنتِقَال	transfer,communication	attr	0.215
تَحَسُّن	improvement	attr	0.215
بَيع	sale	attr	0.225
حُرِّيَّة	freedom	attr	0.226
مَجَلَّة	magazine,journal	attr	0.236
بَيت	Beit,Bet;house	attr	0.237
مُستَشَار	counselor,adviser	attr	0.237
فَحص	examination,checkup,scrutiny	attr	0.239
تَخزِين	storage,safekeeping,accumulation	attr	0.248
تَمكِين	enabling,making_possible,strengthening	attr	0.248
حَاكِم	ruler,governor	attr	0.248
مَفهُوم	concept,notion,sense,meaning,definition	attr	0.248
رِحلَة	journey,career	attr	0.255
تَزوِيد	supplying,providing	attr	0.264
تَفصِيل	detail,detailing,elaboration,giving_details	attr	0.264
غَزو	invasion,attack,aggression,foray,incursion	attr	0.264
إِجبَار	compulsion,coercion	attr	0.273
إِسنَاد	ascription,bestowal,vouchers,documentary_records	attr	0.273
إِنجَاح	success	attr	0.273
اِختِفَاء	disappearance	attr	0.273
اِعتِزَاز	pride	attr	0.273
اِكتِنَاز	gathering,storing	attr	0.273
اِنتِحَار	suicide	attr	0.273
تَتَبُّع	pursuit,course	attr	0.273
تَحلِيَة	decoration,sweetening	attr	0.273
تَخَوُّف	fear,dread	attr	0.273
تَذَبذُب	oscillation,fluctuation	attr	0.273
تَركِيب	installation,assembling,assemblage	attr	0.273
تَمَكُّن	capability,control	attr	0.273
جَيب	pocket,purse,sine,cavities	attr	0.273
رِفقَة	company,group,companions	attr	0.273
زَعم	allegation,claim	attr	0.273
سِرّ	secret	attr	0.273
شَاشَة	screen	attr	0.273
طَمي	alluvial_mud	attr	0.273
مُعَاهَدَة	treaty,accord,pact	attr	0.273
مَمَرّ	passage,corridor	attr	0.273
مُهِمَّة	important_matter,equipment,material,supplies	attr	0.273
نَمَط	type,kind,manner,form	attr	0.273
نَوَاة	nucleus,core	attr	0.273
وَادِي	wadi,valley	attr	0.273
مَعنَى	meaning,sense,concepts,nuances	attr	0.277
مَقتَل	murder,killing	attr	0.277
إِشرَاف	supervision,direction,patronage	attr	0.277
مُحَاوَلَة	attempt,effort	attr	0.288
إِبقَاء	continuation,preservation	attr	0.291
اِحتِيَاطِيّ	reserve	attr	0.291
تَورِيث	hereditary_transmission	attr	0.291
رَئِيسَة	president,head,chairman	attr	0.291
رَمز	sign,symbol,emblem	attr	0.291
نَفَقَة	expenditure,disbursement	attr	0.291
هِلَال	crescent,new_moon	attr	0.291
ذِكر	mention,citation,memory	attr	0.293
دَرس	lesson,study,classes	attr	0.297
تَنمِيَة	development,growth	attr	0.31
عَهد	age,period;knowledge,authorization	attr	0.31
تَعيِين	appointing,assignment	attr	0.317
مُذَكِّرَة	reminder,memorandum,memoirs,diary	attr	0.317
كَشف	report,revelation,disclosure,examination	attr	0.326
أُستَاذ	professor	attr	0.339
بُحَيرَة	lake	attr	0.339
رُبع	quarter,fourth	attr	0.34
شِبه	like,quasi_-,semi_-	attr	0.34
غَالِبِيَّة	majority	attr	0.349
حَلّ	solution,dissolution,cancellation	attr	0.354
صَدَد	respect,regard,purpose	attr	0.36
اِعتِقَال	arrest,detention	attr	0.367
بَقَاء	survival,remaining	attr	0.367
إِقرَاض	lending,loan	attr	0.37
تَحصِيل	summary,acquisition	attr	0.37
تَوَازُن	balance,balancing	attr	0.37
رَبط	tying,connecting	attr	0.37
مُخَيَّم	camp,refugee_camp	attr	0.37
أَخذ	seizure,taking	attr	0.383
إِحرَاز	acquisition,winning	attr	0.383
اِجتِيَاح	invasion,strike	attr	0.383
اِنتِعَاش	resurgence,revival	attr	0.383
تَحمِيل	burdening,loading,shipment	attr	0.383
تَسَلُّل	infiltration	attr	0.383
تَوَاصُل	continuity,continuation,communication	attr	0.383
جَبَل	mountain	attr	0.383
حَسم	settlement,termination	attr	0.383
حِيَازَة	possession,attainment	attr	0.383
خَشيَة	fear,apprehension;out_of_fear,fearing	attr	0.383
رَصَاص	lead_(_metal_),bullets	attr	0.383
سِكرِتِير	secretary	attr	0.383
شَقِيق	brother	attr	0.383
مَهرَجَان	festival	attr	0.383
هَمّ	concern,interest	attr	0.383
جَلسَة	session,meeting	attr	0.396
تَسوِيَة	settlement,solution	attr	0.396
ثَمَن	value,price	attr	0.404
دَاخِل	interior,inside	attr	0.404
قَصر	castle,palace;limiting,restricting	attr	0.404
مَجمَع	assembly,academy	attr	0.404
مُرُور	traffic,passing,crossing	attr	0.404
نَادِي	club,association	attr	0.404
إِعمَار	building,construction;populating,renovation	attr	0.412
مُطَالَبَة	requirement,demand	attr	0.428
تَفتِيش	search,check,inspection	attr	0.431
حَرَارَة	temperature,heat,fever	attr	0.431
قِيَاس	analogy	attr	0.431
كَسر	fracture,crack	attr	0.431
مُرشِد	guide,instructor,adviser	attr	0.431
مَظهَر	appearance,facade,feature,manifestation	attr	0.431
وَرَقَة	leaf,sheet,paper	attr	0.431
طَلَب	quest,search;request,demand	attr	0.432
قُدرَة	capacity,ability,potential,power	attr	0.435
سِلَاح	(_military_)_service_branch;weapon	attr	0.451
حَيّ	quarter,district	attr	0.454
طَالِب	student	attr	0.465
أُسطُول	fleet,squadron	attr	0.473
بَند	article,clause	attr	0.473
مَادَّة	article,paragraph;substance,material	attr	0.474
بَطَل	hero,champion,star	attr	0.489
تَرجَمَة	translation,interpretation	attr	0.489
تَفسِير	explanation,commentary,exegesis,Quranic_commentary	attr	0.489
ضَمّ	joining,addition,annexation	attr	0.489
مَعرِفَة	knowledge,information,acquaintance,culture,education	attr	0.489
مَحَلّ	place,location	attr	0.493
مِيزَان	balance,standard;weight_scales,measure,meter	attr	0.493
عَودَة	return	attr	0.5
نِيَّة	intention,purpose,desire	attr	0.509
زِيَارَة	visit	attr	0.511
أَسَاس	foundation,basis	attr	0.517
حُجَّة	pretext;proof,evidence	attr	0.518
حِرص	desire,eagerness,keenness	attr	0.518
دَاعِي	cause,reason,motives,requirements;inviter,propagandist,caller	attr	0.518
صَلَاة	prayer,salat	attr	0.518
يَد	hand	attr	0.543
مَدَى	extent,range,period,duration	attr	0.551
مُعَوِّق	obstacle,impediment	attr	0.554
وَسط	middle,center,environment,circles,quarters	attr	0.566
شَبَكَة	network,system,nets	attr	0.574
اِختِلَاف	difference,disagreement,variance	attr	0.575
دَار	house,home,abodes	attr	0.575
كَنِيسَة	church,temple	attr	0.575
وَاجِب	duty,obligation,requirement	attr	0.575
شَرط	precondition,stipulation	attr	0.587
دَور	role,part	attr	0.591
خُطَّة	plan,project	attr	0.595
إِنتَاج	production,output	attr	0.604
إِحبَاط	thwarting,defeating,defeat,frustration	attr	0.608
إِشَاعَة	spreading,circulation	attr	0.608
اِختِبَار	testing,experimenting,probing	attr	0.608
اِختِرَاع	invention	attr	0.608
اِستِردَاد	reclamation,recovery,retraction	attr	0.608
تَرسِيخ	rooting,anchoring,ingraining	attr	0.608
تَعمِيم	generalization,diffusion,spread	attr	0.608
تَفكِيك	dismantling,dismemberment,fragmentation	attr	0.608
تَهمِيش	sidelining,marginalizing,excluding	attr	0.608
جَرِيدَة	newspaper	attr	0.608
حَمل	carrying	attr	0.608
حَوض	basin,reservoir,safe_havens,pelvis	attr	0.608
ذِكرَى	commemoration,remembrance,memoirs,diary	attr	0.608
رَسُول	messenger_(_Muhammad_);messenger,apostle	attr	0.608
سَلَّة	basket	attr	0.608
شَاطِئ	shore,coast,beach	attr	0.608
شَرِيحَة	slice,slide	attr	0.608
شَطر	portion	attr	0.608
عُبُور	crossing	attr	0.608
عِشق	love,fondness	attr	0.608
فَارِق	difference,distinctive_features	attr	0.608
قُصُور	shortcoming,insufficiency,negligence	attr	0.608
مَجرَى	course,path	attr	0.608
مَسَافَة	distance,interval	attr	0.608
مُوَازَاة	parallel,equivalent	attr	0.608
مَيدَان	square,field,domain,arena	attr	0.608
وَاسِطَة	means,device	attr	0.608
عُمق	depth,bottom	attr	0.615
كَارِثَة	catastrophe,tragedy	attr	0.634
تَأمِين	insurance,guarantee	attr	0.639
عَدَد	number,quantity,issue	attr	0.641
جَرِيمَة	crime	attr	0.646
اِختِرَاق	penetration,crossing	attr	0.65
اِعتِقَاد	belief,conviction	attr	0.65
بَاخِرَة	steamship,ship	attr	0.65
تَأَخُّر	delay,underdevelopment	attr	0.65
حَرَم	holy_site,campus	attr	0.65
حُلم	dream	attr	0.65
عَدوَى	infection	attr	0.65
كِتَابَة	writing	attr	0.65
مُخَالِفَة	transgressor	attr	0.65
مَسَّاحَة	land_surveyor	attr	0.65
مَشعَر	feeling,sense,emotions	attr	0.65
قَلب	heart,center,essence;overthrowing,toppling	attr	0.66
مَحكَمَة	court,tribunal	attr	0.671
تَأثِير	effect,influence,impact	attr	0.682
خِدمَة	service,assistance	attr	0.691
عَرض	presentation,review,show,offer,tenders;supply;width,breadth	attr	0.694
حَدَث	incident,event	attr	0.7
إِيقَاف	stopping,halting	attr	0.703
تَغَيُّر	transformation,change,variation	attr	0.703
حَاجِز	obstacle,blockade,hurdles	attr	0.703
قُطب	leader,top_figure	attr	0.703
نَوعِيَّة	characteristic,peculiar_quality	attr	0.703
حَصر	exclusive,limited,strict	attr	0.724
دَورِيّ	league_(_sports_)	attr	0.724
فِئَة	faction,party	attr	0.724
مَتحَف	museum	attr	0.724
مُفَتِّش	inspector,supervisor	attr	0.724
مِلَفَّة	dossier,letter_file	attr	0.724
شَبّ	young_man,youth	attr	0.728
مَهَمَّة	task,assignment,mission	attr	0.736
أَدَاة	tool,instrument,apparatus	attr	0.751
دَعوَى	lawsuit,allegation,legal_action	attr	0.751
رُوح	spirit,soul	attr	0.751
سِلسِلَة	chain,series	attr	0.751
شُغل	work,activity,occupation,labor,business	attr	0.751
قِسط	allotment,installment	attr	0.751
إِرَادَة	desire,will	attr	0.764
جَدوَى	gift,present,advantage,gain,benefit	attr	0.764
مُسَابَقَة	race,competition	attr	0.764
نَقص	decrease,loss,deficiency,lack	attr	0.764
وُصُول	arrival,achievement	attr	0.778
بَحَّارَة	sailors,crew;seaman,sailor	attr	0.781
عَكس	opposite,contrary	attr	0.781
مَائِدَة	table	attr	0.781
حَدِيد	iron	attr	0.789
رَدّ	reply,answer;return,repulsion	attr	0.79
كَون	being,events	attr	0.791
تَصدِير	export,exporting	attr	0.808
اِحتِيَاط	reserve	attr	0.819
بُطُولَة	championship,starring_role,heroism	attr	0.819
تَرتِيب	arrangement,organization,preparation	attr	0.819
سَهم	share,stock	attr	0.837
نَحو	manner,method,areas	attr	0.849
تَارِيخ	date,history	attr	0.865
تَطَوُّر	development,progress,event	attr	0.89
حُصُول	acquisition,obtaining,occurrence,happening	attr	0.893
جَامِعَة	university,league	attr	0.914
سَاكِن	resident,inhabitant	attr	1
لَاعِب	player,athlete	attr	1
عَجز	deficit,insolvency	attr	1
صَعِيد	level,plane,domains	attr	1
صَوت	voice,sound;vote	attr	1
شَارِع	street	attr	1
إِعفَاء	exemption,discharge,exoneration	attr	1
اِحتِفَال	celebration,ceremony	attr	1
مَخَاطِر	dangers,perils,adventures	attr	1
مَخزُون	deposits,reserves	attr	1
مُفَاوِض	negotiator	attr	1
جِدِّيَّة	seriousness,earnestness	attr	1
جِيل	generation,epoch	attr	1
سُلُوك	behavior,conduct	attr	1
صِيَانَة	maintenance,preservation	attr	1
غَضَب	anger,wrath	attr	1
قَتل	murder,killing	attr	1
هُبُوط	landing,descent,drop,fall,downfall	attr	1
إِحَالَة	transfer,remittance	attr	1
اِمتِدَاد	extension,expansion	attr	1
اِنقِسَام	fragmentation,schism,disruption	attr	1
تَرشِيح	nomination,candidacy	attr	1
تَسدِيد	payment,paying	attr	1
تَعقِيد	complication,confusion	attr	1
تَنَوُّع	variety,diversity	attr	1
تَوَرُّط	entanglement,involvement	attr	1
تَوظِيف	usage,making_use_of,employment	attr	1
ثَابِتَة	fixed_star	attr	1
طَبَقَة	level,layer,strata	attr	1
فَهم	understanding	attr	1
مِنَصَّة	platform,podium	attr	1
نِضَال	struggle,battle	attr	1
نَفَاذ	penetration	attr	1
مِصر	Egypt	rep	3.31E-79
دُولَار	dollar	rep	1.11E-61
بَلَد	country	rep	7.45E-33
حُكُومَة	government,administration	rep	4.23E-32
وِلَايَة	state,province	rep	4.48E-25
يَوم	day,today	rep	2.73E-22
تَعَاوُن	cooperation	rep	1.16E-18
عَالَم	world	rep	2.82E-18
لُبنَان	Lebanon	rep	4.38E-18
وَقت	time,moment,period_of_time	rep	2.15E-17
غَير	other,unlike,not,non_-	rep	2.33E-17
اِستِثمَار	investment,investing	rep	2.34E-17
أَمر	matter,issue;order,command	rep	7.25E-15
مَصدَر	source	rep	3.79E-14
فِلَسطِينِيّ	Palestinian	rep	3.93E-14
مَسؤُول	official,functionary	rep	3.39E-12
إِضَافَة	addition,appending,in_addition	rep	1.26E-11
نَفط	petroleum,oil	rep	1.75E-11
بَيَان	communique,statement,declaration	rep	1.95E-11
أَمن	security,safety	rep	1.06E-10
عَلَاقَة	connection,relation,link,ties,contacts,straps,cords	rep	1.62E-10
تِجَارَة	commerce,business	rep	2.87E-10
مُستَثمِر	investor	rep	4.43E-10
خَارِجِيَّة	foreign_ministry,foreign_office	rep	5.83E-10
جِهَة	side,part,direction,sectors,offices,institutions,officials,individuals	rep	2.12E-08
شَعب	people,nation	rep	2.92E-08
حَيَاة	life	rep	3.19E-08
عَامِل	factor,agent,coefficient;worker	rep	3.71E-08
لِقَاء	meeting,encounter,interview	rep	4.61E-08
فَائِدَة	benefit,use	rep	4.96E-08
مَعلُومَة	information,known_fact,data	rep	7.35E-08
حِوَار	conversation,dialogue,discussion,talk	rep	7.36E-08
مَال	money,capital,funds,assets	rep	9.79E-08
حَرب	war,warfare	rep	2.8E-07
دَولَة	state,country	rep	8.11E-07
خُصُوص	matter,issue,regard,respect	rep	1.06E-06
طَاقَة	energy,power,potential	rep	1.06E-06
سُلطَة	power,authority,rule	rep	1.09E-06
مُنتَج	product,production,manufactured_goods	rep	4.12E-06
صَحِيفَة	newspaper,sheet,leaf	rep	4.21E-06
طَائِرَة	aircraft,airplane	rep	4.23E-06
اِقتِصَاد	economy,saving	rep	4.25E-06
مُوَاطِن	citizen	rep	5.03E-06
مُؤتَمَر	conference,convention	rep	5.8E-06
تَقرِير	decision,determination;report,account	rep	6.48E-06
شَرق	east,East,Orient	rep	7.75E-06
عَمَل	work,action,activities	rep	8.54E-06
طَرَف	party,side	rep	8.9E-06
نَظَر	view,look,seeing,glances,looking	rep	9.86E-06
مُعَارَضَة	opposition	rep	1.32E-05
نَقد	criticism,critique	rep	2.03E-05
جُزء	section,piece,portion,part,fraction	rep	3.14E-05
فَترَة	phase,time_period,interval	rep	5.61E-05
جَزِيرَة	island,peninsula	rep	7.51E-05
بَيرُوت	Beirut	rep	0.000121
دَين	debt	rep	0.000162
قَول	statement,remark,reports	rep	0.000175
غَاز	gas,gasses	rep	0.000194
بَنك	bank	rep	0.000208
خَطوَة	step,stride	rep	0.000227
وَفد	delegation	rep	0.000376
بَرمِيل	barrel	rep	0.000422
طُنّ	ton	rep	0.000428
قِمَّة	summit	rep	0.000528
مَلبَس	clothes,dress,attire	rep	0.000653
مَبلَغ	amount,sum	rep	0.000821
جَيش	army,troops	rep	0.000935
نَبَأ	news_item,report	rep	0.00128
نَار	fire	rep	0.00138
أُسرَة	family,community	rep	0.00151
قَرض	loan	rep	0.00151
جَولَة	tour,patrol,round	rep	0.00158
مَدِينَة	city	rep	0.00168
جَمَاعَة	party,group,squad	rep	0.00209
مُسَاعِدَة	assistant,supporter	rep	0.00234
سُؤَال	question,inquiry	rep	0.00297
بُورصَة	stock_exchange,bourse	rep	0.00314
جُندِيّ	soldier,private	rep	0.00314
فِعل	doing,act,action,activity,deed	rep	0.00316
مُرَاقِب	observer,inspector	rep	0.00352
مَرحَلَة	phase,stage,round	rep	0.0037
صِحَّة	health,truth,correctness	rep	0.00401
بَحر	sea	rep	0.0062
أَرض	earth,territory,land	rep	0.00644
مُفَاوَضَة	negotiation,discussion,talks	rep	0.00719
اِجتِمَاع	meeting,gathering	rep	0.00792
أَمَل	hope,wish	rep	0.00805
مَجمُوعَة	collection,group,bloc	rep	0.00819
اِعتِبَار	consideration,regard	rep	0.00869
نُمُوّ	development,growth,progress	rep	0.00884
كِتَاب	book	rep	0.00891
صُلب	heart,core,crux,center,essence	rep	0.00903
مُقَاطَعَة	boycott	rep	0.0091
طَرِيقَة	method,procedure,manners	rep	0.0097
سَيَّارَة	car,automobile,vehicle	rep	0.0116
نِسَاء	women	rep	0.0122
فَوز	victory	rep	0.0122
قَدر	extent,degree,amount,value,level	rep	0.0122
مُصَدِّر	exporter	rep	0.0122
أَثَر	effect,trace	rep	0.0131
تَوَجُّه	attitude,approach	rep	0.0131
مَاء	water	rep	0.0144
مُشَارَكَة	participation,association	rep	0.0174
مُهَندِس	engineer,technician	rep	0.0189
إِصَابَة	affliction;casualty,injury	rep	0.0218
نَوع	type,kind,form	rep	0.0238
قَرَار	decision,resolution	rep	0.0268
حَادِث	incident,event,accident,mishap	rep	0.0268
هُوِيَّة	identity,identity_card	rep	0.0271
تَجَمُّع	gathering,assembly	rep	0.0277
زِرَاعَة	agriculture,cultivation	rep	0.0278
فِكر	thought,thinking,ideas,concepts	rep	0.0278
قَضَاء	district,province;justice,judiciary	rep	0.0278
مُؤَسَّسَة	institution,organization,foundation	rep	0.0337
كَلِمَة	word,remark,speech	rep	0.0364
ثِقَة	trust,confidence	rep	0.0382
جَرِيح	wounded,injured,hurt	rep	0.0402
عَمِيل	agent	rep	0.0406
مِسَاحَة	surface,space,land,terrain	rep	0.0406
خَامَة	raw_materials	rep	0.0408
غَايَة	goal,objective,purpose,intention,extreme	rep	0.0408
اِتِّحَاد	union	rep	0.0421
جَهد	exertion,endeavor,efforts	rep	0.0479
عِلم	knowledge,knowing,in_view_of_the_fact_(_that_);science,study_of	rep	0.05
قَريَة	village	rep	0.054
ضَحِيَّة	victim	rep	0.0581
حِين	time,moment,opportunity	rep	0.0615
سُوق	market	rep	0.0663
سَيطَرَة	control,dominion	rep	0.0682
نَاحِيَة	side,perspective,areas,regions	rep	0.0682
رَقم	number,numeral,record	rep	0.0745
رَأي	opinion,view,idea	rep	0.0825
تَحَرُّك	movement,motion,activity	rep	0.0828
مُرَشَّح	candidate,nominee,nominated	rep	0.0828
خَبِير	expert,specialist	rep	0.0844
ضَغط	pressing,pushing,pressurizing,compressing,clicking;pressure,stress,voltage	rep	0.0849
تَأكِيد	confirmation,affirmation,guarantee	rep	0.0855
دِرَاسَة	study,research	rep	0.0856
شَهر	month	rep	0.0886
لَعب	game,sport	rep	0.0907
مِينَاء	port,harbor	rep	0.0907
خَسَارَة	loss,damage,casualties	rep	0.0942
تَعَامُل	relations,dealings	rep	0.0958
فَرِيق	team,band	rep	0.0958
حَدِيث	discussion,talk,interview;Hadith_(_Islamic_tradition_)	rep	0.0966
مُقَاوَمَة	resistance,opposition,struggle	rep	0.0966
مُشكِلَة	problem,issue,inconvenience	rep	0.104
شَرِيك	partner,associate	rep	0.105
مَصنَع	factory,industrial_plant	rep	0.106
تَعلِيم	education,teaching,instructions,precepts	rep	0.108
تَصرِيح	declaration,statement	rep	0.113
دَخل	income,revenue,business	rep	0.12
نَفس	same,self	rep	0.121
سَفِير	ambassador	rep	0.125
وَاقِع	reality,fact	rep	0.127
عَقَبَة	obstacle	rep	0.129
اِهتِمَام	interest,concern,care,attention	rep	0.13
حِصَار	siege,blockade	rep	0.131
سِفَارَة	embassy	rep	0.131
حَدّ	extent,limit,border,frontier,stop,halt	rep	0.14
إِصلَاح	reform,restoration,correction,amendment	rep	0.14
حَملَة	campaign,expedition,attack	rep	0.16
مَوقِع	position,location,site	rep	0.164
ضَابِط	officer	rep	0.166
تَحَدِّي	challenge	rep	0.167
سَعي	endeavor,pursuit	rep	0.167
عُنوَان	title,headline	rep	0.167
مَعرَكَة	battle,campaign	rep	0.167
ظَرف	circumstance,condition,situation	rep	0.168
تَهدِيد	threat,menace;threatening,menacing	rep	0.171
اِتِّهَام	accusation,charge,indictment	rep	0.173
ضَرِيبَة	tax,levy	rep	0.173
مِنطَقَة	area,zone,territory	rep	0.18
وَحدَة	unity,oneness,unit	rep	0.182
اِلتِزَام	commitment,obligation	rep	0.186
عَاصِمَة	capital_city	rep	0.188
